7.909,12.426,17.645,21.013
21.766,16.848,5.535,6.600
12.492,11.815,11.641,17.689
18.683,11.086,15.272,6.794
11.896,15.005,11.884,4.648
10.725,15.800,13.163,20.971
11.280,14.888,14.335,7.011
15.766,10.285,14.976,17.021
13.975,10.980,18.679,14.541
5.935,10.702,14.292,15.192
15.871,14.233,13.919,9.544
21.775,18.264,15.336,10.149
14.636,7.510,18.939,13.629
6.276,13.657,7.697,6.711
9.892,8.943,9.887,6.580
13.348,13.588,16.964,8.207
20.693,19.772,11.811,14.758
10.046,12.922,19.747,18.179
11.886,15.667,6.036,13.142
19.718,12.614,17.848,13.506
9.791,11.029,10.278,11.068
16.988,15.059,6.302,9.992
10.023,11.243,11.921,6.203
9.703,10.311,16.621,9.939
18.575,7.375,15.349,4.849
6.440,20.194,15.153,12.302
6.237,13.482,9.703,15.551
10.053,15.124,8.798,7.985
15.254,13.780,5.903,17.874
7.828,12.269,10.857,12.791
6.979,13.698,12.455,5.746
19.389,10.216,11.123,17.808
14.267,14.079,15.572,16.803
18.915,14.383,9.065,3.851
17.706,11.978,15.087,8.232
9.045,11.089,12.525,14.667
16.502,5.551,19.151,5.617
3.776,9.179,9.750,8.973
15.750,13.681,12.265,8.581
14.075,12.007,13.491,17.568
19.110,13.164,12.671,13.458
10.890,10.298,9.699,17.352
16.272,9.828,6.252,20.034
11.551,8.567,13.633,19.408
7.702,14.009,13.187,21.024
16.143,12.136,17.407,9.288
10.290,16.050,16.683,19.262
13.231,18.064,10.750,13.722
8.812,12.066,12.323,10.615
15.511,15.301,8.747,14.266
13.436,10.202,5.833,15.559
14.870,17.921,16.913,4.077
16.838,15.287,15.188,12.640
11.095,11.791,13.572,18.907
13.417,10.267,14.742,12.040
8.021,8.251,13.573,16.849
21.247,14.309,12.381,13.814
11.303,10.578,14.001,10.372
15.528,11.845,13.312,14.957
12.512,15.184,17.169,15.953
13.082,13.964,12.920,5.928
14.565,13.694,18.603,10.652
13.178,14.332,9.701,7.272
18.267,6.581,5.783,12.873
13.674,11.874,11.279,15.029
12.213,15.490,18.619,12.591
11.520,13.637,12.826,16.222
14.922,12.087,16.347,15.066
19.759,16.002,11.964,22.655
8.868,12.262,12.827,8.681
11.435,16.414,19.346,5.537
12.419,14.727,10.445,8.599
16.246,12.406,13.325,9.114
14.807,12.592,11.369,5.789
11.024,6.694,6.619,19.706
15.146,6.756,5.739,6.545
16.907,13.515,10.437,8.047
10.824,10.843,13.228,16.266
6.016,13.169,10.823,22.482
14.702,9.324,17.805,10.828
8.406,6.773,4.116,10.386
9.008,20.243,14.407,20.974
4.560,9.713,12.285,12.291
7.334,15.620,12.889,18.280
3.125,9.441,11.574,6.980
5.103,9.548,12.126,11.491
13.412,21.659,7.691,15.551
16.256,13.163,14.028,12.890
17.343,8.042,16.527,10.354
13.621,11.169,12.957,12.354
7.130,14.729,7.673,9.728
8.266,11.619,4.924,7.983
4.323,13.132,15.272,19.388
10.140,17.568,9.608,8.170
14.958,18.715,9.093,23.228
9.617,14.076,11.182,11.345
12.791,14.915,12.229,11.634
22.619,10.490,11.425,17.050
16.027,9.114,5.892,6.467
10.178,7.104,11.217,21.440
7.080,11.515,10.734,13.082
8.511,11.454,17.673,21.086
14.397,16.932,11.103,12.266
19.815,13.105,10.509,9.703
16.679,13.685,8.080,2.386
21.912,12.653,9.783,20.915
13.644,13.462,10.712,5.987
5.703,11.784,15.382,18.562
10.913,13.412,7.155,8.664
16.514,8.221,13.004,15.888
15.555,15.864,3.772,14.491
12.142,15.453,9.892,20.372
13.518,9.780,14.813,15.500
17.275,4.532,10.000,9.541
7.066,10.430,11.232,16.009
15.095,14.389,20.474,6.174
6.243,18.705,20.324,2.782
11.423,13.073,12.186,8.604
11.760,11.185,12.213,14.932
13.863,7.800,14.049,11.087
14.446,9.348,11.735,17.735
17.398,15.422,7.834,11.851
15.868,6.358,13.772,11.311
19.315,12.313,13.956,10.781
16.886,9.172,11.440,17.544
12.622,8.096,16.068,11.066
8.005,7.768,15.691,14.062
22.579,12.662,15.458,15.930
7.412,12.457,8.004,9.828
7.174,15.667,13.263,17.794
19.901,16.836,13.801,15.433
7.613,9.114,15.698,5.888
15.296,13.240,21.344,7.009
15.404,16.024,11.597,16.459
3.727,15.512,15.358,10.586
14.792,15.616,14.193,8.878
4.726,8.530,12.615,15.911
14.259,8.451,12.756,11.291
22.182,11.520,14.916,11.987
9.209,15.398,18.336,7.532
16.056,14.368,8.799,15.484
14.247,10.199,12.233,7.365
8.964,8.650,8.009,10.381
11.692,15.646,7.740,0.187
16.159,8.905,9.201,0.815
8.452,13.780,10.761,18.367
5.213,13.488,13.090,13.062
15.768,8.485,7.272,11.010
